# Latitude(North), Longitude(East)
470 498
469 498
470 499
474 498
475 499
474 500
474 501
476 500
477 501
479 499
479 498
478 496
478 495
480 494
479 494
479 493
480 493
480 498
481 497
482 497
482 498
481 498
481 499
482 500
482 501
483 501
484 500
484 498
485 497
486 497
486 498
487 498
487 500
487 500
486 500
487 501
487 502
488 502
489 503
489 501
489 499
488 494
487 494
486 494
487 493
489 496
