# Latitude(North), Longitude(East)
411 462
410 461
409 459
408 458
409 459
411 459
411 461
415 465
416 464
418 466
417 468
418 467
419 465
422 466
422 467
423 467
424 468
424 469
424 470
424 470
424 467
424 466
424 467
422 465
419 465
418 464
418 464
419 463
418 463
417 463
416 462
415 462
414 460
414 460
413 459
414 458
412 458
412 456
411 456
411 456
410 455
409 453
408 452
407 451
409 452
410 452
412 454
413 454
414 453
415 454
415 453
416 454
415 456
416 457
417 456
418 457
420 457
421 458
424 459
428 461
428 463
428 463
429 463
428 462
428 461
427 460
426 458
422 456
424 455
426 456
427 457
428 458
429 456
430 455
430 455
430 456
430 457
431 456
431 456
432 456
432 457
433 458
433 456
434 455
434 455
436 456
435 457
436 459
437 460
436 462
437 461
439 461
438 460
436 458
437 457
437 455
434 453
433 454
432 452
434 452
435 452
436 453
437 454
438 455
439 455
438 453
439 453
440 453
440 452
439 451
440 449
440 451
442 451
442 451
443 451
443 451
442 453
443 455
443 455
445 453
446 453
446 455
444 456
445 457
445 457
444 457
443 458
443 457
443 459
441 459
442 460
443 460
444 460
445 459
446 461
447 461
448 460
448 459
447 459
448 457
449 456
448 456
447 454
447 453
448 454
448 455
450 455
450 455
451 454
452 455
451 456
452 456
453 457
453 458
451 459
451 460
452 461
453 460
453 459
454 460
454 458
455 457
456 457
455 459
456 459
456 460
457 462
456 462
455 463
458 464
458 465
456 466
455 466
454 467
453 466
454 468
452 469
450 469
451 470
450 471
449 470
448 471
444 469
445 471
447 471
446 473
445 473
445 474
446 474
448 472
450 472
452 472
452 474
453 473
453 472
455 470
457 472
456 473
457 472
458 471
459 470
460 470
461 470
461 471
460 471
459 472
459 473
459 475
459 475
460 473
461 473
463 475
462 476
462 476
463 478
463 479
463 479
463 481
462 483
461 483
460 482
459 483
459 481
458 481
456 481
454 480
453 481
452 481
452 482
453 482
454 481
454 482
455 482
456 482
455 483
456 483
457 482
458 482
458 483
459 484
460 484
459 487
459 489
458 490
459 490
460 489
460 486
461 485
463 484
464 482
465 482
463 487
464 488
463 489
464 489
464 485
465 484
467 486
467 483
468 484
471 484
471 485
471 487
470 487
471 487
471 486
472 485
473 485
474 487
475 486
477 487
478 488
478 490
477 489
476 489
476 490
477 490
479 492
481 491
482 492
483 492
482 491
479 491
478 490
479 489
479 488
478 486
478 486
475 485
474 484
474 483
473 483
472 483
471 483
471 482
470 482
469 482
468 481
467 482
466 482
466 480
465 479
465 479
465 477
466 476
467 476
468 476
469 475
469 476
470 477
469 478
470 478
470 478
472 478
471 479
471 480
472 480
473 480
473 481
475 482
475 481
476 481
477 482
477 482
477 483
478 484
478 483
479 482
479 483
480 484
480 488
481 488
481 489
483 491
484 491
482 490
482 489
483 489
482 488
482 487
483 487
481 487
482 486
481 485
481 484
481 484
481 483
481 481
480 480
481 480
483 481
484 480
486 479
485 481
486 481
487 483
486 484
487 484
489 485
487 487
486 487
488 488
489 490
489 492
490 492
490 492
492 494
492 493
491 493
490 492
490 490
488 487
489 487
490 486
489 486
489 485
490 485
490 484
489 483
489 482
490 481
489 480
488 480
488 479
487 478
488 477
489 478
490 477
489 476
490 476
490 475
491 475
491 473
492 473
492 472
493 472
493 473
494 474
493 476
491 476
491 477
494 477
493 478
494 479
495 480
496 480
496 482
497 481
498 483
499 485
499 486
500 488
500 489
501 488
499 486
499 483
498 483
498 482
498 480
497 480
496 478
495 478
494 476
495 475
496 476
497 476
496 474
497 474
497 473
500 473
502 473
502 474
503 474
502 475
503 477
503 476
505 476
505 475
507 475
505 479
507 477
507 476
508 476
508 477
508 477
509 478
508 479
509 478
510 478
511 479
511 480
511 481
510 481
511 481
512 483
512 483
513 482
514 483
514 486
514 484
515 483
514 483
514 482
513 482
512 481
512 477
511 476
511 476
509 474
509 472
512 472
511 473
510 474
511 475
513 476
514 478
514 476
514 475
516 476
517 476
516 477
517 478
517 478
518 479
518 480
519 482
519 479
520 478
519 477
520 476
521 477
522 477
522 478
522 479
524 480
525 481
527 482
525 482
524 481
523 483
524 483
524 485
525 484
526 483
526 485
527 485
528 485
528 486
529 485
530 486
530 487
529 487
527 487
525 486
525 487
524 488
524 489
524 490
524 491
525 492
525 490
525 490
525 489
527 490
528 490
527 491
528 492
530 492
530 494
531 492
532 493
533 494
534 495
532 496
532 497
532 498
533 496
534 497
534 500
534 502
536 501
537 498
538 500
537 501
537 502
538 503
540 502
541 503
541 503
541 501
542 502
543 505
542 505
542 506
542 507
541 506
541 507
541 506
540 505
539 507
539 507
538 506
538 506
538 507
536 508
536 509
535 509
535 506
533 505
534 504
532 502
531 503
530 502
528 500
528 501
530 503
530 504
528 505
527 506
529 505
530 505
531 503
532 503
533 504
532 507
533 507
533 509
534 511
531 512
531 511
531 512
531 513
532 514
531 516
532 516
533 513
534 513
535 514
534 515
535 514
